           r,           Qi,           Qe
      0.0125, 5.339345e+05, 1.648355e+05
      0.0375, 4.857893e+05, 1.462173e+05
      0.0625, 4.554137e+05, 1.344735e+05
      0.0875, 4.631949e+05, 1.287673e+05
      0.1125, 4.998790e+05, 1.218911e+05
      0.1375, 5.339502e+05, 1.147434e+05
      0.1625, 5.359628e+05, 1.066281e+05
      0.1875, 5.093314e+05, 9.930202e+04
      0.2125, 4.628952e+05, 9.281610e+04
      0.2375, 4.187570e+05, 8.960528e+04
      0.2625, 3.926604e+05, 8.998694e+04
      0.2875, 3.713326e+05, 8.875454e+04
      0.3125, 3.486511e+05, 8.514013e+04
      0.3375, 3.281201e+05, 8.169046e+04
      0.3625, 3.075882e+05, 8.008544e+04
      0.3875, 2.835633e+05, 7.871733e+04
      0.4125, 2.627547e+05, 7.690008e+04
      0.4375, 2.641577e+05, 7.725744e+04
      0.4625, 2.797687e+05, 7.909654e+04
      0.4875, 2.817354e+05, 7.873158e+04
      0.5125, 2.720926e+05, 7.716369e+04
      0.5375, 2.656750e+05, 7.666052e+04
      0.5625, 2.580101e+05, 7.528413e+04
      0.5875, 2.437368e+05, 7.184046e+04
      0.6125, 2.337187e+05, 6.905465e+04
      0.6375, 2.341213e+05, 6.965545e+04
      0.6625, 2.339842e+05, 7.115590e+04
      0.6875, 2.262762e+05, 6.985549e+04
      0.7125, 2.142745e+05, 6.610757e+04
      0.7375, 2.007545e+05, 6.285490e+04
      0.7625, 1.848393e+05, 6.093643e+04
      0.7875, 1.652638e+05, 5.762706e+04
      0.8125, 1.459711e+05, 5.241787e+04
      0.8375, 1.262989e+05, 4.594030e+04
      0.8625, 1.016849e+05, 3.768714e+04
      0.8875, 7.405691e+04, 2.848499e+04
      0.9125, 4.740592e+04, 1.935484e+04
      0.9375, 2.429284e+04, 1.117737e+04
      0.9625, 6.735273e+03, 4.882724e+03
      0.9875, -2.346682e+03, 1.324845e+03
